file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
../../results/output_VN_COI	C	PV0243-Cx2	1	1	0	1	1
../../results/output_VN_COI	C	PV0244-C	1	1	0.11476	1	1
../../results/output_VN_COI	C	PV0245-Cx2	1	1	0	1	1
../../results/output_VN_COI	C	PV0246-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0247-Cx2	1	1	0	1	1
../../results/output_VN_COI	C	PV0248-C	2	2	0	2	2
../../results/output_VN_COI	C	PV0249-Cx	1	1	0	1	1
../../results/output_VN_COI	C	PV0250-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0251-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0252-C	2	2	0.24958	2	3
../../results/output_VN_COI	C	PV0253-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0254-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0256-C	2	2	0	2	2
../../results/output_VN_COI	C	PV0257-C	2	2	0	2	2
../../results/output_VN_COI	C	PV0258-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0259-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0261-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0262-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0263-C	2	2	0	2	2
../../results/output_VN_COI	C	PV0264-C	2	2	0.06656	2	2
../../results/output_VN_COI	C	PV0265-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0266-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0267-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0268-C	3	3	0.34628	3	4
../../results/output_VN_COI	C	PV0269-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0270-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0271-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0272-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0273-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0274-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0276-C	2	2	0.11476	2	2
../../results/output_VN_COI	C	PV0277-C	1	1	0	1	1
../../results/output_VN_COI	C	PV0278-C	1	1	0	1	1
