file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
output_DRC_COI	C	QG0182-C	7	2	5.63795	2	18
output_DRC_COI	C	QG0183-C	12	6	10.01675	2	25
output_DRC_COI	C	QG0184-C	5	1	4.04563	1	12
output_DRC_COI	C	QG0185-C	10	2	8.43403	2	23
output_DRC_COI	C	QG0186-C	6	1	5.75205	1	17
output_DRC_COI	C	QG0187-C	6	1	5.20186	1	14.025
output_DRC_COI	C	QG0188-C	5	2	4.13195	1	12
output_DRC_COI	C	QG0189-C	12	5	9.40879	3	25
output_DRC_COI	C	QG0190-C	6	1	5.48285	1	16
output_DRC_COI	C	QG0191-C	11	3	8.65173	3	25
output_DRC_COI	C	QG0192-C	10	5.5	8.62485	2	24
output_DRC_COI	C	QG0193-C	10	2.5	8.63101	2	24
output_DRC_COI	C	QG0194-C	6	2	4.68146	2	16
output_DRC_COI	C	QG0195-C	4	1	3.85072	1	12
output_DRC_COI	C	QG0196-C	5	2	3.79126	1	13
output_DRC_COI	C	QG0197-C	12	4	9.66841	3	25
output_DRC_COI	C	QG0198-C	11	6	8.41551	3	25
output_DRC_COI	C	QG0200-C	5	1	4.53346	1	14
output_DRC_COI	C	QG0201-C	4	1	4.02168	1	13
output_DRC_COI	C	QG0202-C	4	1	3.70804	1	12
output_DRC_COI	C	QG0203-C	10	3	8.60114	2	24
output_DRC_COI	C	QG0204-C	5	1	4.16741	1	12
output_DRC_COI	C	QG0205-C	4	1	3.71784	1	12
output_DRC_COI	C	QG0206-C	7	2	5.87832	2	17
output_DRC_COI	C	QG0207-C	7	2	4.95446	2	15
output_DRC_COI	C	QG0208-C	3	1	3.30618	1	10
output_DRC_COI	C	QG0209-C	6	1	5.05879	1	14
output_DRC_COI	C	QG0210-C	4	1	3.6267	1	12
output_DRC_COI	C	QG0211-C	5	1	4.35321	1	13
output_DRC_COI	C	QG0212-C	9	4.5	7.60171	2	22
output_DRC_COI	C	QG0213-C	10	3.5	8.14136	2	23
output_DRC_COI	C	QG0214-C	7	2	5.50617	2	16
output_DRC_COI	C	QG0215-C	5	2	4.84618	1	14
output_DRC_COI	C	QG0216-C	5	1	4.91568	1	15
output_DRC_COI	C	QG0217-C	10	2	8.16295	2	24
output_DRC_COI	C	QG0218-C	5	1	4.32988	1	14
output_DRC_COI	C	QG0219-C	5	1	4.22772	1	12
output_DRC_COI	C	QG0220-C	5	1	4.39896	1	14
output_DRC_COI	C	QG0221-C	8	2	6.29226	2	19
output_DRC_COI	C	QG0223-C	5	1	4.93908	1	15
output_DRC_COI	C	QG0224-C	5	2	3.88596	2	13
output_DRC_COI	C	QG0225-C	5	1	4.90862	1	14
output_DRC_COI	C	QG0226-C	7	2	5.4925	2	17
output_DRC_COI	C	QG0228-C	5	1	4.68708	1	14
output_DRC_COI	C	QG0229-C	8	2	5.96486	2	17
output_DRC_COI	C	QG0230-C	8	3	6.01259	2	18
output_DRC_COI	C	QG0231-C	9	2	7.51106	2	20
output_DRC_COI	C	QG0232-C	5	1	4.68173	1	14
output_DRC_COI	C	QG0233-C	5	1	4.14727	1	12
output_DRC_COI	C	QG0234-C	7	2	5.92722	2	17
output_DRC_COI	C	QG0235-C	10	3	8.76326	2	24
output_DRC_COI	C	QG0236-C	5	1	4.41076	1	14
output_DRC_COI	C	QG0237-C	7	1	6.05264	1	17
output_DRC_COI	C	QG0238-C	9	2	7.09557	2	21
output_DRC_COI	C	QG0239-C	6	1	5.28229	1	15.025
output_DRC_COI	C	QG0240-C	9	2	7.25358	2	20
output_DRC_COI	C	QG0241-C	6	1	5.34006	1	15
output_DRC_COI	C	QG0243-C	4	1	3.74742	1	12
output_DRC_COI	C	QG0244-C	6	2	4.79126	2	15
output_DRC_COI	C	QG0245-C	4	1	3.87252	1	12
output_DRC_COI	C	QG0246-C	5	1	4.62661	1	14
output_DRC_COI	C	QG0247-C	5	1	4.50729	1	13
output_DRC_COI	C	QG0248-C	12	3	9.96451	2	25
output_DRC_COI	C	QG0249-C	5	1	4.04501	1	12
output_DRC_COI	C	QG0250-C	5	1	4.49279	1	13
output_DRC_COI	C	QG0251-C	14	18	9.22254	4	25
output_DRC_COI	C	QG0252-C	5	1	4.31972	1	13
output_DRC_COI	C	QG0253-C	8	2	6.66891	2	19
output_DRC_COI	C	QG0254-C	8	2	5.84822	2	16
output_DRC_COI	C	QG0255-C	4	1	3.63709	1	11
output_DRC_COI	C	QG0256-C	6	3.5	5.86724	1	17
output_DRC_COI	C	QG0257-C	5	1	4.21507	1	13
output_DRC_COI	C	QG0258-C	5	1	4.58968	1	13
output_DRC_COI	C	QG0259-C	8	2	6.54384	2	20
output_DRC_COI	C	QG0260-C	7	2	5.56817	2	18
output_DRC_COI	C	QG0261-C	5	1	4.1184	1	12
output_DRC_COI	C	QG0262-C	5	1	4.05347	1	12
output_DRC_COI	C	QG0263-C	5	2	3.98621	1	13
output_DRC_COI	C	QG0264-C	4	1	3.77841	1	11
output_DRC_COI	C	QG0265-C	5	1	4.4842	1	14
output_DRC_COI	C	QG0266-C	17	22	8.87269	4	25
output_DRC_COI	C	QG0267-C	10	3	8.7759	2	25
